Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200
L,7920,14280,8360,8360,8040,8520,8800,9480,9400,9320,9320,9800,9160,9520,8920,8640,9400,9040,8920,8400,8320,8520,36880,34600,,,,
M,7280,8160,8200,7480,8440,9280,9480,9160,8680,9800,9280,7560,9080,9240,9520,9480,8760,9320,8160,8920,7880,8800,38640,31280,,,,
N,7560,7800,7680,8360,8680,9360,8560,8080,8920,9080,8960,8840,8640,9160,7840,9160,8520,8360,8520,7920,8280,7880,33040,34240,,,,
O,7240,7440,7880,7800,8440,8440,8640,8600,8240,8840,8840,8800,8960,8720,9040,8560,8360,7960,8200,8600,8040,7840,33600,33320,,,,
P,6840,7760,8120,8400,8080,7760,7920,8120,8000,7800,8280,8320,8520,7920,8320,8520,8160,8240,8040,7960,7920,7280,34680,38600,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
13,1,H2060226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:07,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
13,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
B,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
C,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
D,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
E,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
F,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
G,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
H,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
I,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
J,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
K,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
L,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
M,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
N,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
O,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
P,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
13,1,H2060226,14.01,17.61,17.43,40.1,39.5,17.8,17.82,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:07,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
13,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,6560,7240,7560,7880,7840,8120,8360,8400,8400,8040,8240,8880,8880,8800,8480,8320,9000,8280,8320,8200,7920,7720,29920,30760,,,,
B,6880,7640,7600,7960,8000,8520,8280,8640,8680,8720,8920,9760,8640,8880,8760,8960,8640,8600,8360,7720,8200,7760,27800,29440,,,,
C,7520,7760,8000,8040,8640,8400,10120,8720,9560,9680,9560,10240,9280,10080,9080,9480,9600,8600,8320,8800,8520,8600,28240,28440,,,,
D,7920,7960,8000,7920,8720,8720,9080,9160,9000,9520,9080,9680,9960,9280,9920,9320,9360,9520,8320,8400,7840,8760,30120,30120,,,,
E,8440,8600,8160,9480,9320,10000,11120,10440,10680,10360,9880,11080,10320,10240,10880,9560,10040,9840,10320,10160,10320,9840,34920,32040,,,,
F,8720,9320,9040,9440,10120,10000,10480,9840,10360,10480,10800,10680,9920,10560,10320,10720,10600,10080,10960,9760,9760,9840,32280,34720,,,,
G,8160,8360,9080,9360,10000,8800,9800,10360,10320,9920,9880,10440,10040,9920,9640,9920,9880,9480,9560,9680,9120,9320,33280,35280,,,,
H,7680,8400,8960,8560,9120,9080,9680,9280,10280,10240,9920,10400,10160,10200,9680,9600,10400,9440,15800,9200,9200,9000,33480,31520,,,,
I,7720,8720,7960,8800,9440,9280,8760,9920,9840,10200,9040,9560,10240,9960,9720,10160,10120,9240,9720,9800,8640,9040,34360,35720,,,,
J,7800,8520,8400,8600,9000,8920,9560,9280,9040,8960,9480,8960,9360,9680,9680,8960,10000,9440,9000,9160,8640,9160,34880,34120,,,,
K,8040,9480,9160,9000,9040,9240,9880,9760,9600,9320,9440,10200,9680,10120,9720,9840,9400,8880,9160,9360,9560,8920,34640,33680,,,,
L,7920,8080,8800,8760,9040,8640,8560,8680,9520,9600,9400,9120,9120,9080,9560,9000,9600,9240,9080,9040,8800,8880,32840,34200,,,,
M,7960,8160,8480,9280,9840,9440,9200,8800,9360,9640,9840,10840,9520,9600,9400,9080,10320,8840,9240,9320,8440,9120,34160,32280,,,,
N,7520,8600,8240,8280,9000,8200,8960,8680,9280,9040,8720,9040,9600,9320,9160,8440,8800,9120,9120,8800,8560,8440,33680,35800,,,,
O,8320,8600,8600,8560,8840,8960,8960,9040,8840,9080,8800,9440,9160,9200,9560,9240,9240,8680,8840,8960,8400,8680,32480,31920,,,,
P,8000,8040,7920,8280,8040,8320,8400,9160,8760,7960,8480,8520,8800,9080,8600,8880,8080,8720,8160,8560,7800,8280,35320,35680,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
14,1,H2060228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
14,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
B,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
C,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
D,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
E,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
F,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
G,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
H,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
I,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
J,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
K,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
L,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
M,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
N,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
O,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
P,0.596723203,0.596723203,,,,,,,,,,,,,,,,,,,,,0.596723203,0.596723203,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
14,1,H2060228,14.01,17.43,17.52,39.5,39.8,17.92,17.92,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:09,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
14,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,7560,7160,7360,7640,7840,7880,8120,8200,8560,8280,8080,8120,7800,8120,7880,8000,7640,8080,8080,8160,7840,7600,27800,32840,,,,
B,7080,7560,7840,8160,8040,7560,7960,8640,8920,8520,8000,7880,8480,7960,7960,8000,8040,8680,7680,8320,7520,7880,27720,28280,,,,
C,7600,7240,7520,7760,7840,8000,8160,7760,8320,8560,9160,8280,8840,8560,7920,8320,8400,6080,8160,8080,7920,8360,25960,29160,,,,
D,7880,7680,7600,7760,7720,7440,8960,8400,8880,9000,8520,9080,9040,8240,8840,8680,8840,8160,8000,8600,8640,8240,26280,28880,,,,
E,8920,8480,8680,8600,9040,8920,9120,8720,9640,9120,9440,9680,9120,10640,9880,9680,9560,8880,9920,9320,8840,9240,29560,31200,,,,
F,8120,8560,9240,8240,9560,9120,9800,9360,9680,10160,9600,10240,10280,10280,10000,8960,10200,8880,9320,9240,9680,9440,32560,31680,,,,
G,7680,8760,8000,8880,8480,8800,9520,8960,8880,9320,9240,9880,8760,9960,9440,10280,9320,9080,9760,8920,8320,8880,32920,32560,,,,
H,8280,8600,8680,9160,9440,8600,8840,8960,9720,9960,9160,9440,9760,9760,9600,10160,9000,9400,9040,9440,9240,9160,34120,29720,,,,
I,8360,8120,7720,8560,8680,8960,8640,8720,9360,11160,9240,8720,9040,9320,9000,8800,8720,8920,9360,8040,8880,8800,32360,30640,,,,
J,7920,6480,7840,7720,8720,8200,8600,8440,9000,9480,8960,9000,8920,9120,9200,9360,8080,8560,8600,8920,8240,9120,30320,30160,,,,
K,7640,7760,8160,8760,8640,8800,8040,8560,9400,9160,9440,9240,9320,9360,8800,9640,8120,8680,9280,9280,8720,8160,33760,31760,,,,
L,8240,8440,7960,7720,8320,8880,8920,8720,9280,9200,9000,8440,8920,8520,9840,8480,8840,8960,8640,8800,9040,8240,32680,33840,,,,
M,7280,7960,7960,8840,8120,7920,9320,8920,9520,9120,8880,9160,9160,9160,8720,9000,8960,8560,8720,8640,8600,8440,34120,35320,,,,
N,7640,7680,8240,7560,8560,8080,8520,8360,7840,8400,8600,8640,8520,8800,8360,8680,9320,8520,8320,9760,8360,8280,32200,33280,,,,
O,8120,7960,7680,8400,8400,8280,8560,8200,8280,8520,8920,8800,8560,9080,9040,8480,8440,8760,9240,8680,8240,8440,34000,37000,,,,
P,7040,7640,7960,7720,8360,7320,8360,7920,7800,8160,8400,8120,8000,8000,8760,7560,8480,8200,8080,8080,7720,7800,33600,33520,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
15,1,H2060230,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
15,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
B,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
C,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
D,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
E,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
F,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
G,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
H,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
I,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
J,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
K,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
L,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
M,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
N,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
O,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
P,0.591008869,0.591008869,,,,,,,,,,,,,,,,,,,,,0.591008869,0.591008869,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
15,1,H2060230,14.01,17.52,17.52,40,39.8,17.82,17.92,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
15,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,7000,6560,7680,7960,7240,8440,7920,8240,7600,7920,8520,7880,8080,8320,7840,7920,8040,8320,7760,7920,8040,7320,27200,26880,,,,
B,7280,7120,7800,7920,8280,8480,8480,7920,8400,8160,8920,8480,8560,8640,9520,8520,8800,8280,7800,7720,7800,7480,24920,24680,,,,
C,7280,7600,7680,7960,7920,8520,8720,7960,8760,8600,8960,8640,9080,9280,8720,8560,8480,8760,7560,7760,8280,8400,24840,25200,,,,
D,8440,7720,7720,7800,7640,8720,8680,8080,8520,8680,8640,8920,9320,8960,8520,8600,9080,8560,7160,8360,8320,7760,26920,22280,,,,
E,8400,9360,8800,9160,9120,9640,9760,9720,9120,9280,10560,9800,9720,10080,10320,9800,10080,9840,9360,9000,9520,9240,27680,29040,,,,
F,8240,8680,9120,8720,8800,9240,9280,10080,9840,10480,10160,9840,9960,9960,10880,8560,9920,9760,9840,9560,8840,9240,30880,27480,,,,
G,7720,8400,8640,8480,8240,9720,9560,8840,9360,9040,9200,9120,9160,9200,9160,9320,9280,9600,9280,9200,14800,8320,28160,27800,,,,
H,8240,8800,8800,8360,9120,8880,9240,8760,9800,9840,9320,9560,9640,9040,9680,9360,9520,9960,8840,8520,8920,9360,30840,27760,,,,
I,8040,7280,7920,8480,8160,8800,8440,9280,8240,9040,9400,10000,9280,10200,8720,8840,9200,9320,9040,8360,8520,8680,28720,26160,,,,
J,7600,7440,7880,8040,8320,8920,8640,9040,8560,9120,8760,8920,9280,9320,9080,9320,9080,9560,7840,8440,8440,8320,30680,28640,,,,
K,8160,8440,8400,8360,8720,9400,9360,9000,9360,9400,9240,9280,9240,9480,9360,9960,9200,9320,8800,8800,8400,9480,30760,27760,,,,
L,7640,8000,8560,8080,8200,8720,8560,9160,8640,8520,9240,9200,8520,9440,9200,9400,9280,8880,8400,8480,8640,8600,31400,29840,,,,
M,7640,8280,8360,7840,8520,9160,9360,8520,8840,9280,9040,9080,8880,8960,9200,9520,8960,9000,9240,8320,8760,9080,28040,30680,,,,
N,7640,7520,12800,7920,8280,8440,8440,8760,8720,8760,9000,8560,8840,8800,5400,8720,8600,9320,8240,8840,7720,8640,28680,30200,,,,
O,7600,7640,8080,9560,7760,8400,8240,8760,8240,8240,8760,8320,8720,9240,8040,8960,8000,8680,7800,7480,8160,7880,27960,29960,,,,
P,7480,7560,7680,7560,8000,7480,7800,8160,7800,8160,8120,8240,8040,7960,8000,8360,7960,8600,8120,7840,8000,7400,30080,29640,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
16,1,H2060232,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
16,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
B,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
C,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
D,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
E,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
F,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
G,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
H,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
I,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
J,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
K,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
L,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
M,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
N,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
O,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
P,0.602396634,0.602396634,,,,,,,,,,,,,,,,,,,,,0.602396634,0.602396634,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
16,1,H2060232,14.01,17.51,17.52,40,40.3,17.8,17.82,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
16,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,7600,7720,7480,7400,8320,8080,8360,8760,8720,8200,8920,8680,8720,9160,9040,8680,8440,8440,8200,8480,7800,8280,33200,26920,,,,
B,7440,7240,7560,7400,8360,9040,8920,8680,9120,8440,9240,8760,8840,8840,8760,8600,8080,8120,8160,8080,8520,8720,30360,31520,,,,
C,7800,7040,8160,8280,8280,8000,8720,8240,9200,8960,8560,9320,9960,9280,8840,8880,8920,8760,8720,8920,8800,8040,31040,29040,,,,
D,8080,7840,7920,8600,8880,9080,8760,9200,8440,9480,9800,8840,8800,9400,8880,9520,8840,9280,8880,8600,8520,8400,29800,30200,,,,
E,9160,9040,9600,8960,10560,9520,9760,10480,9960,10280,11160,11160,10520,9920,9520,10760,10200,10240,9960,9880,9640,9840,34360,34400,,,,
F,9240,8720,9080,9360,10000,10560,9960,10280,11400,10240,10640,10040,10720,10680,10520,11440,9960,9960,10000,10080,9920,9640,34600,33880,,,,
G,8440,9120,7320,9160,10000,10240,9120,11080,9480,10200,10240,10200,10520,9880,10160,10440,10200,8160,9560,8960,9240,9360,34080,28920,,,,
H,8520,9000,8040,9280,9800,11440,9400,9880,11120,9800,10800,10360,9880,12360,8760,9400,10280,8840,10040,10920,9440,8760,35400,32200,,,,
I,8440,8320,9320,9520,9800,9960,9840,10080,10000,9320,10040,10120,10480,10200,9800,8640,9120,9400,9440,9200,9240,8960,33360,34640,,,,
J,8560,8480,8200,8880,9320,9760,9640,9080,10400,10680,19120,9680,10360,9360,9560,9200,9280,9040,9560,9760,8960,8560,31360,34120,,,,
K,9040,8600,8560,8680,9600,9160,9040,9960,9760,10000,9280,10400,9720,9720,9600,9560,9760,10080,9120,9360,9400,8880,35920,33440,,,,
L,8640,8760,8160,8520,8760,9880,9080,9080,9280,9760,10440,10040,9920,9360,9760,9280,8720,9400,9680,9120,9480,9160,34480,36160,,,,
M,8240,7760,8760,9320,6080,9560,9240,8760,9880,9960,9800,9520,10040,9640,9560,9520,9640,9160,9360,9280,9320,8560,37200,35240,,,,
N,8040,7840,8760,9000,8720,9320,8560,9200,8840,9520,10440,9400,9960,9600,9120,9360,8960,9320,8640,8560,8720,8440,34840,34600,,,,
