Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
69,69,G,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7680.0
70,70,H,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7480.0
71,71,I,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7760.0
72,72,J,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400.0
73,73,K,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8520.0
74,74,L,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8360.0
75,75,M,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920.0
76,76,N,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8200.0
77,77,O,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920.0
78,78,P,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7520.0
79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0
80,80,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600.0
81,81,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,7840.0
82,82,2,1,H2061372,14.01,17.51,17.41,43.1,42.9,17.8,17.9,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 17:50,,,,,,,,,,,,7280.0
83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6720.0
84,84,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280.0
85,85,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7640.0
86,86,2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8760.0
87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.0
88,88,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,7960.0
89,89,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8040.0
90,90,A,6680,7240,7440,7880,8720,7920,7680,7640,7640,7760,7880,8480,7520,8200,8080,7720,7800,7280,7200,7560,7600,7120,26120,28560,,,,7280.0
91,91,B,7640,8080,8000,7920,7800,8040,9520,7720,8720,7560,8440,7920,8200,8520,7920,8640,8240,8280,8280,7800,7560,7160,22040,26760,,,,7040.0
92,92,C,8080,7960,7480,8400,8480,8400,8480,8640,8000,8760,8520,8680,8080,8320,8840,8440,8680,8160,7800,8160,7520,7400,22960,24200,,,,7720.0
93,93,D,8280,8000,8000,8680,8320,9400,9040,8280,9600,9000,8600,8280,8720,8760,8640,8760,8880,8320,8000,7800,7800,7800,22880,24320,,,,7640.0
94,94,E,8840,8760,9560,8840,9520,9360,10200,10320,9200,10160,10600,9680,10480,9800,9720,9720,9720,9400,11120,9520,8080,8840,25080,28760,,,,8320.0
95,95,F,9080,8760,9480,10120,10640,12720,9560,10560,11280,9760,9880,10000,9800,10600,9400,10280,9200,9200,9520,8480,9080,8840,24720,27400,,,,7120.0
96,96,G,8520,8680,8400,8360,9280,9160,9440,9000,9640,9480,9840,8960,9640,9280,9840,9720,8920,9040,8160,8400,8120,8440,26280,25040,,,,7880.0
97,97,H,8000,8720,9240,9400,9360,10440,9160,9800,9760,9720,10000,9960,9520,10120,9360,9480,9320,9280,9360,8480,8720,7840,23000,30560,,,,7360.0
98,98,I,7920,8280,8760,8960,8440,8960,9680,9120,9640,9200,9320,9720,9160,8920,9320,9080,9400,9040,8680,8680,8320,8480,24720,25080,,,,7240.0
99,99,J,7840,8160,8480,9200,8800,9000,9640,9120,9640,9200,8920,8400,8880,7560,9040,9320,9040,8600,8400,8400,8600,7920,24960,26720,,,,7680.0
100,100,K,7960,8480,8200,9120,9680,8920,9560,9000,9920,9880,9840,9760,9560,9800,8960,9520,8840,8160,8440,9080,7600,8040,25520,25040,,,,8240.0
101,101,L,7920,7960,8520,8200,9240,8840,9560,8680,9960,8760,9000,9200,8840,9720,9000,9000,8920,8400,8440,8360,8400,8440,27760,28160,,,,8640.0
102,102,M,8600,8440,8480,8840,9360,8600,9240,9320,9000,9400,9240,8840,9400,8600,8880,9000,9040,9400,8560,8160,8160,7440,28560,26960,,,,8400.0
103,103,N,8160,7880,7840,8920,8920,8920,8880,8200,9120,8240,9080,9520,9160,9280,8160,8960,9000,8680,8600,7480,8000,8080,24240,27480,,,,8560.0
104,104,O,7560,8480,8400,7960,8840,8880,8920,9400,8520,8400,8560,9040,8960,9160,8920,8520,9000,9000,7960,8160,7840,7680,26040,25360,,,,7560.0
105,105,P,7680,7800,7720,8000,8280,8160,8600,8560,8200,8200,8640,8360,7960,8640,8200,8000,8120,7720,8120,8120,7480,7480,26560,28440,,,,7840.0
106,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.0
107,107,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280.0
108,108,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7840.0
109,109,3,1,H2061374,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:51,,,,,,,,,,,,,,,,,8240.0
