,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
93,D,-0.13087120798315244,-0.18187942426890533,-0.18187942426890533,-0.0580023275749343,-0.12358431994233068,0.07316165715985846,0.007579664792462084,-0.13087120798315244,0.10959609736396754,0.00029277675164033213,-0.07257610365657811,-0.13087120798315244,-0.05071543953411255,-0.0434285514932908,-0.06528921561575605,-0.0434285514932908,-0.021567887370825232,-0.12358431994233068,-0.18187942426890533,-0.21831386447301437,-0.21831386447301437,-0.21831386447301437,2.528842926916812,2.7911708963863977,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.2474614166363017
94,E,-0.028854775411646983,-0.0434285514932908,0.10230920932314579,-0.028854775411646983,0.09502232128232403,0.06587476911903671,0.21889941797629475,0.2407600820987603,0.0367272169557494,0.211612529935473,0.2917682983845132,0.12416987344561103,0.2699076342620476,0.1460305375680766,0.1314567614864331,0.1314567614864331,0.1314567614864331,0.07316165715985846,0.3864978429151969,0.09502232128232403,-0.16730564818726182,-0.028854775411646983,2.9296217691620123,3.60001546891762,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.12358431994233068
95,F,0.014866552833283836,-0.0434285514932908,0.08773543324150197,0.20432564189465124,0.29905518642533496,0.6779733645480698,0.10230920932314579,0.2844814103436911,0.4156453950784839,0.13874364952725485,0.16060431364972041,0.18246497777218568,0.1460305375680766,0.2917682983845132,0.07316165715985846,0.23347319405793854,0.0367272169557494,0.0367272169557494,0.09502232128232403,-0.09443676777904336,0.014866552833283836,-0.028854775411646983,2.864039776794616,3.352261275529678,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.3421909611669854
96,G,-0.08714987973822162,-0.0580023275749343,-0.10901054386068718,-0.11629743190150893,0.051300993037392904,0.02944032891492765,0.08044854520068022,0.00029277675164033213,0.1168829854047893,0.08773543324150197,0.15331742560889836,-0.006994111289181729,0.1168829854047893,0.051300993037392904,0.15331742560889836,0.1314567614864331,-0.01428099933000348,0.007579664792462084,-0.152731872105618,-0.10901054386068718,-0.16001876014643976,-0.10172365581986512,3.148228410386667,2.9223348811211904,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.2037400883913709
97,H,-0.18187942426890533,-0.05071543953411255,0.04401410499657115,0.07316165715985846,0.06587476911903671,0.2626207462212259,0.02944032891492765,0.1460305375680766,0.13874364952725485,0.1314567614864331,0.18246497777218568,0.17517808973136392,0.09502232128232403,0.20432564189465124,0.06587476911903671,0.08773543324150197,0.05858788107821466,0.051300993037392904,0.06587476911903671,-0.09443676777904336,-0.05071543953411255,-0.21102697643219262,2.5507035910392775,3.927925430754602,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.2984696329220544
98,I,-0.1964532003505488,-0.13087120798315244,-0.0434285514932908,-0.006994111289181729,-0.10172365581986512,-0.006994111289181729,0.12416987344561103,0.022153440874105586,0.1168829854047893,0.0367272169557494,0.05858788107821466,0.1314567614864331,0.02944032891492765,-0.01428099933000348,0.05858788107821466,0.014866552833283836,0.07316165715985846,0.007579664792462084,-0.0580023275749343,-0.0580023275749343,-0.12358431994233068,-0.09443676777904336,2.864039776794616,2.9296217691620123,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.32033029704452
99,J,-0.21102697643219262,-0.152731872105618,-0.09443676777904336,0.0367272169557494,-0.036141663452468734,0.00029277675164033213,0.1168829854047893,0.022153440874105586,0.1168829854047893,0.0367272169557494,-0.01428099933000348,-0.10901054386068718,-0.021567887370825232,-0.26203519271794534,0.007579664792462084,0.05858788107821466,0.007579664792462084,-0.07257610365657811,-0.10901054386068718,-0.10901054386068718,-0.07257610365657811,-0.1964532003505488,2.9077611050395467,3.228384178835707,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.24017452859547994
100,K,-0.18916631230972708,-0.09443676777904336,-0.14544498406479625,0.022153440874105586,0.12416987344561103,-0.01428099933000348,0.10230920932314579,0.00029277675164033213,0.16789120169054217,0.16060431364972041,0.15331742560889836,0.13874364952725485,0.10230920932314579,0.1460305375680766,-0.006994111289181729,0.09502232128232403,-0.028854775411646983,-0.152731872105618,-0.10172365581986512,0.014866552833283836,-0.25474830467712345,-0.17459253622808357,3.0097775376110527,2.9223348811211904,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.1381580960239745
101,L,-0.1964532003505488,-0.18916631230972708,-0.08714987973822162,-0.14544498406479625,0.04401410499657115,-0.028854775411646983,0.10230920932314579,-0.0580023275749343,0.17517808973136392,-0.0434285514932908,0.00029277675164033213,0.0367272169557494,-0.028854775411646983,0.1314567614864331,0.00029277675164033213,0.00029277675164033213,-0.01428099933000348,-0.10901054386068718,-0.10172365581986512,-0.11629743190150893,-0.10901054386068718,-0.10172365581986512,3.4178432678970743,3.4907121483052923,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.06528921561575605
102,M,-0.07257610365657811,-0.10172365581986512,-0.09443676777904336,-0.028854775411646983,0.06587476911903671,-0.07257610365657811,0.04401410499657115,0.05858788107821466,0.00029277675164033213,0.07316165715985846,0.04401410499657115,-0.028854775411646983,0.07316165715985846,-0.07257610365657811,-0.021567887370825232,0.00029277675164033213,0.007579664792462084,0.07316165715985846,-0.07986299169739987,-0.152731872105618,-0.152731872105618,-0.28389585684041074,3.563581028713511,3.272105507080638,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.10901054386068718
